CustomerID,FirstName,LastName,Email,JoinDate
-1.0,Mark,Twain,MARK@EMAIL.COM,2023-01-01
,Laura,White,laura@email.com,2023-01-02
10.0,,,noname@email.com,2023-01-03
11.0,John,,john@email.com,2023-01-04
12.0,Anna,Smith,,2023-01-05
13.0,Emily,Brown,EMILY@EMAIL.COM,2023-01-06
14.0,Name14,Surname14,user14@email.com,2023-11-04
15.0,Name15,Surname15,user15@email.com,2023-01-24
16.0,Name16,Surname16,user16@email.com,2023-05-08
17.0,Name17,Surname17,user17@email.com,2023-04-05
18.0,Name18,Surname18,user18@email.com,2023-12-04
19.0,Name19,Surname19,user19@email.com,2023-11-24
20.0,Name20,Surname20,user20@email.com,2023-09-03
21.0,Name21,Surname21,user21@email.com,2023-10-14
22.0,Name22,Surname22,user22@email.com,2023-01-01
23.0,Name23,Surname23,user23@email.com,2023-02-07
24.0,Name24,Surname24,user24@email.com,2023-04-17
25.0,Name25,Surname25,user25@email.com,2023-10-01
26.0,Name26,Surname26,user26@email.com,2023-09-07
27.0,Name27,Surname27,user27@email.com,2023-12-21
28.0,Name28,Surname28,user28@email.com,2023-12-18
29.0,Name29,Surname29,user29@email.com,2023-07-08
30.0,Name30,Surname30,user30@email.com,2023-08-19
31.0,Name31,Surname31,user31@email.com,2023-05-26
32.0,Name32,Surname32,user32@email.com,2023-01-25
33.0,Name33,Surname33,user33@email.com,2023-03-23
34.0,Name34,Surname34,user34@email.com,2023-07-11
35.0,Name35,Surname35,user35@email.com,2023-05-05
36.0,Name36,Surname36,user36@email.com,2023-04-25
37.0,Name37,Surname37,user37@email.com,2023-06-04
38.0,Name38,Surname38,user38@email.com,2023-02-13
39.0,Name39,Surname39,user39@email.com,2023-02-12
40.0,Name40,Surname40,user40@email.com,2023-06-20
41.0,Name41,Surname41,user41@email.com,2023-05-26
42.0,Name42,Surname42,user42@email.com,2023-01-24
43.0,Name43,Surname43,user43@email.com,2023-08-18
44.0,Name44,Surname44,user44@email.com,2023-02-13
45.0,Name45,Surname45,user45@email.com,2023-02-18
46.0,Name46,Surname46,user46@email.com,2023-05-27
47.0,Name47,Surname47,user47@email.com,2023-11-20
48.0,Name48,Surname48,user48@email.com,2023-06-19
49.0,Name49,Surname49,user49@email.com,2023-04-23
50.0,Name50,Surname50,user50@email.com,2023-02-02
51.0,Name51,Surname51,user51@email.com,2023-11-08
52.0,Name52,Surname52,user52@email.com,2023-05-03
53.0,Name53,Surname53,user53@email.com,2023-04-28
54.0,Name54,Surname54,user54@email.com,2023-02-13
55.0,Name55,Surname55,user55@email.com,2023-05-15
56.0,Name56,Surname56,user56@email.com,2023-11-27
57.0,Name57,Surname57,user57@email.com,2023-06-06
58.0,Name58,Surname58,user58@email.com,2023-06-12
59.0,Name59,Surname59,user59@email.com,2023-04-22
60.0,Name60,Surname60,user60@email.com,2023-05-23
61.0,Name61,Surname61,user61@email.com,2023-11-21
62.0,Name62,Surname62,user62@email.com,2023-02-20
63.0,Name63,Surname63,user63@email.com,2023-11-06
64.0,Name64,Surname64,user64@email.com,2023-09-24
65.0,Name65,Surname65,user65@email.com,2023-04-06
66.0,Name66,Surname66,user66@email.com,2023-08-13
67.0,Name67,Surname67,user67@email.com,2023-05-21
68.0,Name68,Surname68,user68@email.com,2023-12-18
69.0,Name69,Surname69,user69@email.com,2023-04-22
70.0,Name70,Surname70,user70@email.com,2023-06-27
71.0,Name71,Surname71,user71@email.com,2023-01-08
72.0,Name72,Surname72,user72@email.com,2023-01-26
73.0,Name73,Surname73,user73@email.com,2023-06-13
74.0,Name74,Surname74,user74@email.com,2023-05-03
75.0,Name75,Surname75,user75@email.com,2023-04-19
76.0,Name76,Surname76,user76@email.com,2023-12-11
77.0,Name77,Surname77,user77@email.com,2023-04-21
78.0,Name78,Surname78,user78@email.com,2023-08-13
79.0,Name79,Surname79,user79@email.com,2023-11-15
80.0,Name80,Surname80,user80@email.com,2023-03-09
81.0,Name81,Surname81,user81@email.com,2023-03-08
82.0,Name82,Surname82,user82@email.com,2023-12-18
83.0,Name83,Surname83,user83@email.com,2023-09-09
84.0,Name84,Surname84,user84@email.com,2023-12-19
85.0,Name85,Surname85,user85@email.com,2023-07-19
86.0,Name86,Surname86,user86@email.com,2023-07-12
87.0,Name87,Surname87,user87@email.com,2023-04-05
88.0,Name88,Surname88,user88@email.com,2023-09-16
89.0,Name89,Surname89,user89@email.com,2023-02-25
90.0,Name90,Surname90,user90@email.com,2023-01-28
91.0,Name91,Surname91,user91@email.com,2023-02-05
92.0,Name92,Surname92,user92@email.com,2023-11-06
93.0,Name93,Surname93,user93@email.com,2023-11-14
94.0,Name94,Surname94,user94@email.com,2023-10-03
95.0,Name95,Surname95,user95@email.com,2023-07-13
96.0,Name96,Surname96,user96@email.com,2023-10-15
97.0,Name97,Surname97,user97@email.com,2023-09-09
98.0,Name98,Surname98,user98@email.com,2023-09-28
99.0,Name99,Surname99,user99@email.com,2023-01-22
100.0,Name100,Surname100,user100@email.com,2023-12-04
101.0,Name101,Surname101,user101@email.com,2023-11-18
102.0,Name102,Surname102,user102@email.com,2023-05-25
103.0,Name103,Surname103,user103@email.com,2023-11-11
104.0,Name104,Surname104,user104@email.com,2023-02-10
105.0,Name105,Surname105,user105@email.com,2023-07-06
106.0,Name106,Surname106,user106@email.com,2023-08-01
107.0,Name107,Surname107,user107@email.com,2023-12-24
